キーワード,title_en,タイトル,公開日時,リンク
Python,Pythonの平均年収は700万円超え、学びたい言語はRustが急上昇 - 日経クロステック,Pythonの平均年収は700万円超え、学びたい言語はRustが急上昇 - 日経クロステック,"Tue, 18 Nov 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE1obVNOQ2pEaEwzNm9WSFBIVDAyanE3cnkzcS1abFByeGpLcWloSmtEa2RPalJUcDhjbXRJYzRxb3RaYU9fRXBSbjJXOUNLajQ1c3VpRWVGWXg0LTM3RG50aU5RWE9mR0t0OVJqTw?oc=5
Python,Python 初心者が生成AIとともに短期プログラミング開発に挑戦した結果 | Amazon Web Services ブログ - Amazon Web Services (AWS),Python 初心者が生成AIとともに短期プログラミング開発に挑戦した結果 | Amazon Web Services ブログ - Amazon Web Services (AWS),"Tue, 18 Nov 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE5vczRpWFhXZ1pCYmh5OHQ1R2JZVnRLa2REWG9mOGVLSDBqN2g0Y0x2MTBfVlVKd3FZUDlNQXdiblFLc3E0ZTBGaWl3TXNiVUdXWkZkRHZ3UG9GQ2h6Z2hmaGNITHB4cWVnUjVOTThvOA?oc=5
Python,第4回 もう一つ“言語”を学び始めました。｜佐々木康仁 - mbp-japan.com,第4回 もう一つ“言語”を学び始めました。｜佐々木康仁 - mbp-japan.com,"Tue, 09 Dec 2025 23:00:40 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE1yTkFkd0dFbkNhRmtmTDFLalE2VDNwbzRsckJwalFrQXpyRjkwZ0V2ampkdWgwaGd5R2FQY1kzSHFoSng3TnJWZVRWVDVmZVQ4VE45M0VVZ0ozbzlUbUtKV2VQazhsUzRhc0twOE4xdw?oc=5
Python,【無料・全8回】第10期生募集！「ちゃんと身につくプログラミング」入門コースの生徒募集中 - PR TIMES,【無料・全8回】第10期生募集！「ちゃんと身につくプログラミング」入門コースの生徒募集中 - PR TIMES,"Thu, 11 Dec 2025 03:00:02 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE0xVXFKNmVPeThqMHpLVEtrc0lFU0tCMzRnREVYRjdndnJpY3l1Vl9sMWNDUllkOG9VQWc1Tlg2eFI3RExldUhLRlRjcXhCUVNNNXd5c2lhOVhoYjQ1dEF6cEVEMHBjV21FVXc?oc=5
DX,セブン＆アイがDX敗戦でも東証「DX銘柄」に選ばれた不思議、評価委員長は同社の社外取《再配信》 - ダイヤモンド・オンライン,セブン＆アイがDX敗戦でも東証「DX銘柄」に選ばれた不思議、評価委員長は同社の社外取《再配信》 - ダイヤモンド・オンライン,"Sat, 13 Dec 2025 19:35:00 GMT",https://news.google.com/rss/articles/CBMiTEFVX3lxTE44dF9XZFdlZE9xdVo4TlpJeWtJLW95X0YtZHFmbGtxejdPd0FFMGFqOW1LOEJPb1pnTHE2OUdHUHR4ZnB3UksxeHlXVnDSAU9BVV95cUxOMlRBQi1fMkRzRll0QnVOT2RiSXhRNDF2NEJ2N2lrbnRlZUwwYnFxRTJjVDN3UlRVdFVVRmFuN2ppUVVWUXdVN0tQRklqT2VB?oc=5
DX,ＤＸ、ＡＩ公開授業 指定校の嘉手納・屋良小 - 琉球新報デジタル,ＤＸ、ＡＩ公開授業 指定校の嘉手納・屋良小 - 琉球新報デジタル,"Sat, 13 Dec 2025 20:00:00 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5KcG9PTDFMeGtQLUR0OUNjYU81aGNla3ZnZmJzYkc5OFBUU25xY0FuR21JeWtmd2hqSFpyRlBIbnhUbmRURWtETGpaTzR0aTRiZVNUTEpvZ3dDS2lBb0lWUXAyRWRhTXFU?oc=5
DX,AI、DX技術を紹介 岩手日報生成AIも 盛岡市内で展示会 - 岩手日報,AI、DX技術を紹介 岩手日報生成AIも 盛岡市内で展示会 - 岩手日報,"Fri, 12 Dec 2025 02:01:00 GMT",https://news.google.com/rss/articles/CBMiYkFVX3lxTE5wVTBmSU94cHV2Wm9fYm0zcnFXaGhSOEVTY1dURkZNd3dWdF9nTndJNFJmQWluMjl6RzdyUzZqd2NvSExFNWlFd3Zsd1psZ3lVaHZqREJMeGF1bWFXaHRLOEln?oc=5
DX,電鉄会社がごみ収集をDX化 仙台市で「運搬回数を1日0.6回削減」に成功した「WOOMS」システムとは（tbc東北放送） - Yahoo!ニュース,電鉄会社がごみ収集をDX化 仙台市で「運搬回数を1日0.6回削減」に成功した「WOOMS」システムとは（tbc東北放送） - Yahoo!ニュース,"Sat, 13 Dec 2025 13:39:18 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTE9IU1lEekFKTHluRGJtQ1lsYnJwaVpUOE4xOHVpcHM4eTF5Q2ZvM2RCZFBqXzFlS0ZMTEhiMEhIODBJWUU2MExVM0llbllHQmVWVjEwbVRKNUp2Q2MyaHR2Z1B1Z0RxZVdUeUZlLVNyaXA3dnlGSUE1b24wLW1vUFk?oc=5
DX,IT企業が町にないと、DX推進は難しい? だったら、自治体でつくろう――さつま町が一般社団法人設立 人材育成や企業支援を担う - 南日本新聞,IT企業が町にないと、DX推進は難しい? だったら、自治体でつくろう――さつま町が一般社団法人設立 人材育成や企業支援を担う - 南日本新聞,"Sat, 13 Dec 2025 23:00:00 GMT",https://news.google.com/rss/articles/CBMiWEFVX3lxTE96NFo4R1hpLXR5QUhOcjAyZFQzaDhLZUxKeDM4dVZDSUdsU3gzemNBQWZBSERrWWtWVGdOUC1TZVAtckZzaXh2aWtFTzZnMWFFdGFsbnV2RjM?oc=5
DX,改正医療法でも強調された医療DX、「電カル普及100％」より大事な議論は - 日経メディカル,改正医療法でも強調された医療DX、「電カル普及100％」より大事な議論は - 日経メディカル,"Fri, 12 Dec 2025 14:45:04 GMT",https://news.google.com/rss/articles/CBMie0FVX3lxTE54SUJSOVVhSUtYeU9LR2FldEFxWE0yU0hVUGRqclJJLUkyUDVJVnM1OWZ1ZVhfT2RKX1VzcjFyNXJmS2J3UnpSOHh0MDVYRzc1SmlCTGVwSXpHYVJRM1RoX0NfLVc4VldLcDRZN1VwMmxDdzFBRG83N3JSYw?oc=5
DX,県内製造業のDX推進 静銀経営コンサル、丸紅系と業務提携 - 日本経済新聞,県内製造業のDX推進 静銀経営コンサル、丸紅系と業務提携 - 日本経済新聞,"Fri, 12 Dec 2025 16:53:18 GMT",https://news.google.com/rss/articles/CBMiqAFBVV95cUxQazRONHNpcDJ6TWdQX0Y1WTRXYnZhdWtZN1ExYkhLU09Uai1XbTFWaVpVTjlUbl8xeUd4eDJudjB3UzBQangzUEVBcnFzOG9UVmpKS2lnLTNLNGpBcFN0cFFzOXM0X1ZVMERjcmV2ZjlOeDJYSHJnMTNUeVZqZXlQRTRkeWh0R0hIV21DbnNpeHJWcjE4VkJlX3E3ZVJYUnNWSHZyNDRpck8?oc=5
DX,なぜアマゾンはフルフィルメントに985億ドルも投資するのか？ 50億個超の宅配便が企業に促す「ラストマイルDX」 - JBpress,なぜアマゾンはフルフィルメントに985億ドルも投資するのか？ 50億個超の宅配便が企業に促す「ラストマイルDX」 - JBpress,"Thu, 11 Dec 2025 21:00:00 GMT",https://news.google.com/rss/articles/CBMiVkFVX3lxTE42bGMweFV4X1pnSzRoVTY2UFI0LXktbGV5X1dKd2xQOFpSWFdXeFBSX05tY3RmVWMzcmJFXzVIU3FBOU1kUVhjMDNDZ1pNT01GNkpjYzF3?oc=5
DX,北海道のDX推進企業VELET、ミライズエネチェンジとセールスパートナー提携 (2025年12月14日) - Excite エキサイト,北海道のDX推進企業VELET、ミライズエネチェンジとセールスパートナー提携 (2025年12月14日) - Excite エキサイト,"Sat, 13 Dec 2025 18:40:00 GMT",https://news.google.com/rss/articles/CBMidEFVX3lxTE5xaVczdGRSQ0E0LUVhSTdha0lSQzB4Y2xCOHpMUzVBOEZKaEZrclpCOE41SGNYOG9IY0YzbW93enY2NHVNbVl2TDdEOUp1bVl0aVFleUY3RW9jQlgyT3NJU09iTVgxQmF3X1lwRE9jb0xHSXcx?oc=5
DX,DXソリューションの「ARアドバンストテクノロジ」AI駆動開発を本格化 時価総額数倍を目指す - au Webポータル,DXソリューションの「ARアドバンストテクノロジ」AI駆動開発を本格化 時価総額数倍を目指す - au Webポータル,"Thu, 11 Dec 2025 21:30:00 GMT",https://news.google.com/rss/articles/CBMie0FVX3lxTE5LZ3U5aDBvVXZlUWM5cERDZDEtTjlnWmM1RVNTa0hoazdSa2FJLVNqMjVjZHhXVk50dGNqeGt5QTUxdGVlNGM1X2FhSDJzN1dTTEZkNUFRR0VDZ3RzdHVkWDR3c0F1Z1BEMEVNMl9KMWxTRXljc1UySVNUWQ?oc=5
