title,summary_en_ja,url,last_modified
Pyrex (programming language),"
",https://en.wikipedia.org/wiki/Pyrex_(programming_language),"This page was last edited on 8 November 2024, at 16:50 (UTC)."
Python Conference,"The Python Conference (also called PyCon[1]: 564 ) is the largest[2][3] annual convention for the discussion and promotion of the Python programming language.[4][5] It originated in the United States but is also held in more than 40 other countries.[6][7][8] It was one of the first computer programming conferences to develop and adhere to a code of conduct.[1]: 565  The conference hosts tutorials, demonstrations and training sessions.[9]
Python カンファレンス (PyCon[1]: 564 とも呼ばれます) は、Python プログラミング言語の議論と促進を目的とした最大の年次大会です[2][3]。[4][5]。発祥は米国ですが、他の 40 か国以上でも開催されています。[6][7][8]。これは、行動規範を開発し、遵守した最初のコンピューター プログラミング カンファレンスの 1 つです。[1]: 565 このカンファレンスでは、チュートリアル、デモンストレーション、トレーニング セッションが開催されます。[9]",https://en.wikipedia.org/wiki/Python_Conference,"This page was last edited on 25 August 2025, at 15:32 (UTC)."
Python for S60,"
",https://en.wikipedia.org/wiki/Python_for_S60,"This page was last edited on 10 September 2025, at 02:44 (UTC)."
Python License,"
",https://en.wikipedia.org/wiki/Python_License,"This page was last edited on 16 April 2022, at 00:18 (UTC)."
Python Package Index,"The Python Package Index, abbreviated as PyPI (/ˌpaɪpiˈaɪ/) and also known as the Cheese Shop (a reference to the Monty Python's Flying Circus sketch ""Cheese Shop""),[2]: 8 [3]: 742  is the official third-party software repository for Python.[4] It is analogous to the CPAN repository for Perl[5]: 36  and to the CRAN repository for R. PyPI is run by the Python Software Foundation, a charity. Some package managers, including pip, use PyPI as the default source for packages and their dependencies.[6][7]
Python Package Index は、PyPI (/ˌpaɪpiˈaɪ/) と略され、Cheese Shop (モンティ パイソンのフライング サーカスのスケッチ「チーズ ショップ」への言及) としても知られています。[2]: 8 [3]: 742 は、Python の公式サードパーティ ソフトウェア リポジトリです。[4]これは、Perl[5]: 36 の CPAN リポジトリや R の CRAN リポジトリに似ています。PyPI は、慈善団体である Python Software Foundation によって運営されています。 pip を含む一部のパッケージ マネージャーは、パッケージとその依存関係のデフォルト ソースとして PyPI を使用します。[6][7]",https://en.wikipedia.org/wiki/Python_Package_Index,"This page was last edited on 20 November 2025, at 17:50 (UTC)."
Python Server Pages,"Python Server Pages (PSP) is a name used by several different implementations of server-side script engines for creating dynamically-generated web pages by embedding Python in HTML. For example, an implementation of Python Server Pages was released with mod_python 3.1 in 2004.[1]
Spyce, which also claims the phrase ""Python Server Pages"", was first released in 2002.[2]
The Webware for Python suite also contains an implementation of Python Server Pages released as early as 2000.[3]
An earlier tool with a similar function also called Python Server Pages but based on Java and JPython was first released in 1999.[4]
Python Server Pages (PSP) は、HTML に Python を埋め込むことによって動的に生成される Web ページを作成するために、サーバー側スクリプト エンジンのいくつかの異なる実装で使用される名前です。たとえば、Python Server Pages の実装は 2004 年に mod_python 3.1 でリリースされました。[1]
「Python Server Pages」というフレーズも主張する Spyce は、2002 年に初めてリリースされました。[2]
Webware for Python スイートには、2000 年頃にリリースされた Python Server Pages の実装も含まれています。[3]
同様の機能を備えた以前のツールは、Python Server Pages とも呼ばれますが、Java と JPython をベースにしており、1999 年に初めてリリースされました [4]。",https://en.wikipedia.org/wiki/Python_Server_Pages,"This page was last edited on 11 August 2025, at 02:55 (UTC)."
Template:Python sidebar,"
",https://en.wikipedia.org/wiki/Template:Python_sidebar,"This page was last edited on 29 October 2025, at 20:10 (UTC)."
Python Software Foundation,"The Python Software Foundation (PSF) is an American nonprofit organization devoted to the Python programming language,[3] launched on March 6, 2001. The mission of the foundation is to foster development of the Python community and is responsible for various processes within the Python community, including developing the core Python distribution, managing intellectual rights, developer conferences including the Python Conference (PyCon), and raising funds.
Python Software Foundation (PSF) は、Python プログラミング言語を専門とするアメリカの非営利組織で、2001 年 3 月 6 日に設立されました[3]。この財団の使命は、Python コミュニティの発展を促進することであり、コア Python ディストリビューションの開発、知的権利の管理、Python Conference (PyCon) を含む開発者カンファレンス、資金調達など、Python コミュニティ内のさまざまなプロセスを担当しています。",https://en.wikipedia.org/wiki/Python_Software_Foundation,"This page was last edited on 7 December 2025, at 18:05 (UTC)."
Python Software Foundation License,"
",https://en.wikipedia.org/wiki/Python_Software_Foundation_License,"This page was last edited on 13 September 2025, at 22:42 (UTC)."
Python syntax and semantics,"The syntax of the Python programming language is the set of rules that defines how a Python program will be written and interpreted (by both the runtime system and by human readers). The Python language has many similarities to Perl, C, and Java. However, there are some definite differences between the languages. It supports multiple programming paradigms, including structured, object-oriented programming, and functional programming, and boasts a dynamic type system and automatic memory management.
Python プログラミング言語の構文は、Python プログラムが (ランタイム システムと人間の読者の両方によって) どのように記述され、解釈されるかを定義する一連のルールです。 Python 言語には、Perl、C、Java と多くの類似点があります。ただし、言語間には決定的な違いがいくつかあります。構造化オブジェクト指向プログラミング、関数型プログラミングなどの複数のプログラミング パラダイムをサポートし、動的型システムと自動メモリ管理を備えています。",https://en.wikipedia.org/wiki/Python_syntax_and_semantics,"This page was last edited on 2 December 2025, at 03:20 (UTC)."
PythonAnywhere,"PythonAnywhere is an online integrated development environment (IDE) and web hosting service (Platform as a service) based on the Python programming language.[1]  Founded by Giles Thomas and Robert Smithson in 2012, it provides in-browser access to server-based Python and Bash command-line interfaces, along with a code editor with syntax highlighting.  Program files can be transferred to and from the service using the user's browser.  Web applications hosted by the service can be written using any WSGI-based application framework.
PythonAnywhere は、Python プログラミング言語に基づくオンライン統合開発環境 (IDE) および Web ホスティング サービス (サービスとしてのプラットフォーム) です。[1]  2012 年に Giles Thomas と Robert Smithson によって設立され、サーバーベースの Python および Bash コマンドライン インターフェイスへのブラウザ内アクセスと、構文強調表示を備えたコード エディターを提供します。  ユーザーのブラウザを使用して、サービスとの間でプログラム ファイルを転送できます。  サービスによってホストされる Web アプリケーションは、WSGI ベースのアプリケーション フレームワークを使用して作成できます。",https://en.wikipedia.org/wiki/PythonAnywhere,"This page was last edited on 27 March 2025, at 14:27 (UTC)."
RUR-PLE,"RUR - Python Learning Environment (RUR-PLE) is an educational tool to help students learn the Python programming language. Made by André Roberge. RUR-PLE uses the idea behind Karel the Robot, making the learning of Python programming more interesting. A student writes a program that controls a 'robot' that moves through a city consisting of a rectangular grid of streets (left-right) and avenues (up-down).
RUR - Python 学習環境 (RUR-PLE) は、学生が Python プログラミング言語を学習するのに役立つ教育ツールです。アンドレ・ロベルジュ作。 RUR-PLE は、Karel the Robot の背後にあるアイデアを使用し、Python プログラミングの学習をより興味深いものにします。学生は、道路 (左右) と大通り (上下) の長方形のグリッドで構成される都市内を移動する「ロボット」を制御するプログラムを作成します。",https://en.wikipedia.org/wiki/RUR-PLE,"This page was last edited on 11 August 2025, at 03:01 (UTC)."
Scikit-learn,"scikit-learn (formerly scikits.learn and also known as sklearn) is a free and open-source machine learning library for the Python programming language.[3]
It features various classification, regression and clustering algorithms including support-vector machines, random forests, gradient boosting, k-means and DBSCAN, and is designed to interoperate with the Python numerical and scientific libraries NumPy and SciPy. Scikit-learn is a NumFOCUS fiscally sponsored project.[4]
scikit-learn (旧称 scikits.learn、sklearn とも呼ばれる) は、Python プログラミング言語用の無料のオープンソース機械学習ライブラリです。[3]
サポートベクター マシン、ランダム フォレスト、勾配ブースティング、K 平均法、DBSCAN などのさまざまな分類、回帰、クラスタリング アルゴリズムを備えており、Python の数値および科学ライブラリである NumPy および SciPy と相互運用するように設計されています。 Scikit-learn は、NumFOCUS が財政的に支援するプロジェクトです。[4]",https://en.wikipedia.org/wiki/Scikit-learn,"This page was last edited on 4 December 2025, at 22:11 (UTC)."
SciPy,"SciPy (pronounced /ˈsaɪpaɪ/ ""sigh pie""[3]) is a free and open-source Python library used for scientific computing and technical computing.[4]
SciPy (/ˈsaɪpaɪ/ 「ため息パイ」と発音[3]) は、科学計算および技術計算に使用される無料のオープンソース Python ライブラリです。[4]",https://en.wikipedia.org/wiki/SciPy,"This page was last edited on 1 December 2025, at 10:50 (UTC)."
Spyce (software),"Spyce is technology similar to PHP that can be used to embed Python code into webpages.  Spyce is free software, distributed under a BSD-style licence, with some additional restrictions about documentation notices.[1][2][3][4][5][6]
Spyce は、Web ページに Python コードを埋め込むために使用できる PHP に似たテクノロジーです。  Spyce はフリー ソフトウェアであり、BSD スタイルのライセンスに基づいて配布されますが、ドキュメントに関する通知に関していくつかの追加制限があります。[1][2][3][4][5][6]",https://en.wikipedia.org/wiki/Spyce_(software),"This page was last edited on 11 August 2025, at 03:31 (UTC)."
Web Server Gateway Interface,"The Web Server Gateway Interface (WSGI, pronounced whiskey[1][2] or WIZ-ghee[3]) is a simple calling convention for web servers to forward requests to web applications or frameworks written in the Python programming language. The current version of WSGI, version 1.0.1, is specified in Python Enhancement Proposal (PEP) 3333.[4]
Web サーバー ゲートウェイ インターフェイス (WSGI、ウィスキー[1][2] または WIZ-ghee[3] と発音) は、Web サーバーが Python プログラミング言語で記述された Web アプリケーションまたはフレームワークにリクエストを転送するための単純な呼び出し規約です。 WSGI の現在のバージョンであるバージョン 1.0.1 は、Python Enhancement Proposal (PEP) 3333 で指定されています。[4]",https://en.wikipedia.org/wiki/Web_Server_Gateway_Interface,"This page was last edited on 12 August 2025, at 20:33 (UTC)."
Zen of Python,"The Zen of Python is a collection of 19 ""guiding principles"" for writing computer programs that influence the design of the Python programming language.[1] Python code that aligns with these principles is often referred to as ""Pythonic"".[2]
Zen of Python は、Python プログラミング言語の設計に影響を与えるコンピューター プログラムを作成するための 19 の「指導原則」を集めたものです。[1]これらの原則に沿った Python コードは、「Pythonic」と呼ばれることがよくあります[2]。",https://en.wikipedia.org/wiki/Zen_of_Python,"This page was last edited on 21 September 2025, at 21:38 (UTC)."
